Plate ID	Hour	Min	Second	Travel Orientation	LaneID
JRYL567	7	10	40	3	3
wp	7	10	40	1	3
JRHP717	7	10	42	3	2
JGNBS588	7	10	43	1	3
wp	7	10	43	1	2
JR62E66	7	10	44	3	3
YRG2829	7	10	45	1	2
JRQX975	7	10	46	3	3
wp	7	10	46	1	3
wp	7	10	46	3	2
JR67259	7	10	47	3	2
JR56E75	7	10	48	3	2
wp	7	10	49	1	3
wp	7	10	49	1	2
wp	7	10	49	3	3
wp	7	10	50	3	3
wp	7	10	51	1	2
wp	7	10	51	1	3
wp	7	10	51	2	1
wp	7	10	54	1	3
wp	7	10	54	1	2
wp	7	10	55	1	1
JRQA638	7	10	56	3	3
wp	7	10	57	1	3
wp	7	10	58	1	2
JR8B180	7	10	59	3	2
wp	7	11	0	2	2
wp	7	11	0	3	3
wp	7	11	1	1	2
JNL4129	7	11	19	4	1
wp	7	11	25	3	1
wp	7	11	33	3	2
JGKV6836	7	11	36	3	3
wp	7	11	38	1	2
JR7W611	7	11	45	2	3
wp	7	11	49	2	3
wp	7	11	52	1	3
JRTA270	7	11	53	4	2
JRL2257	7	11	53	2	1
wp	7	12	1	2	3
JNZT577	7	12	4	2	1
wp	7	12	4	4	2
wp	7	12	7	2	3
JR8M218	7	12	8	4	3
JRPL922	7	12	10	4	3
JR66K98	7	12	21	4	3
JR2A912	7	12	30	4	2
wp	7	12	36	2	2
JR5519S	7	12	38	3	3
wp	7	12	38	1	2
wp	7	12	40	1	3
wp	7	12	40	1	1
JR0K711	7	12	41	1	2
JR4Q073	7	12	41	3	2
wp	7	12	41	3	1
JRPS833	7	12	42	3	3
wp	7	12	42	1	2
wp	7	12	43	1	3
wp	7	12	43	1	2
LD09S98	7	12	44	3	2
JR92N08	7	12	45	1	2
JRRY219	7	12	46	3	2
wp	7	12	46	3	3
wp	7	12	47	1	3
JART601	7	12	48	1	2
wp	7	12	49	1	1
wp	7	12	51	1	3
wp	7	12	51	1	2
wp	7	12	53	1	1
JR01N69	7	12	56	1	2
wp	7	12	57	1	1
wp	7	12	58	1	2
wp	7	12	59	3	2
JF85M91	7	13	0	1	2
JRG2721	7	13	2	2	1
JR67L61	7	13	5	3	3
wp	7	13	8	1	3
wp	7	13	17	1	2
JN6C246	7	13	23	1	2
wp	7	13	23	1	3
JR83S38	7	13	26	3	3
JNP5C18	7	13	37	1	2
JR5T75X	7	13	46	4	1
wp	7	13	46	1	3
JRK8507	7	13	47	4	2
JR01N33	7	13	48	2	2
JRZH818	7	13	49	4	3
JAE196G	7	13	49	2	3
JGNM2Y29	7	13	51	4	2
JR2272Y	7	13	52	2	3
JR26G19	7	13	53	4	3
wp	7	13	53	2	2
JL09766	7	13	55	2	3
JGN2G998	7	13	56	4	2
wp	7	13	57	2	2
JR62713	7	13	58	2	1
JR8Z377	7	13	58	4	2
wp	7	13	58	2	3
JRMR260	7	14	0	4	3
JGLN1186	7	14	0	4	2
wp	7	14	0	2	3
JGNZ0Q01	7	14	2	4	2
JRMH857	7	14	2	3	1
JRZ8917	7	14	2	4	3
wp	7	14	2	1	1
JR05039	7	14	3	2	3
JRHH988	7	14	4	4	2
wp	7	14	7	2	3
JGNN23D6	7	14	8	4	1
wp	7	14	20	4	2
JRXV391	7	14	22	4	1
YSC1246	7	14	28	4	3
wp	7	14	37	1	3
JRJY772	7	14	38	3	1
wp	7	14	38	3	2
JNQW1256	7	14	40	2	1
JR58A66	7	14	40	4	1
wp	7	14	40	3	3
JRN0303	7	14	41	3	2
wp	7	14	41	1	2
JRTA178	7	14	42	3	3
JR2A963	7	14	44	1	3
JR57N77	7	14	44	3	2
JR77172	7	14	45	1	2
wp	7	14	46	1	3
wp	7	14	46	1	1
JJ899RL	7	14	47	3	2
wp	7	14	48	1	3
wp	7	14	49	1	2
JJNW953	7	14	51	3	2
MRAQ958	7	14	52	1	2
JGNFJ826	7	14	53	1	2
JR53N71	7	14	53	3	2
JR84448	7	14	55	3	1
JRPG989	7	14	56	2	2
JR2U187	7	14	56	1	2
JRN3976	7	14	56	3	2
wp	7	14	57	1	3
wp	7	14	58	3	3
wp	7	14	59	3	2
wp	7	15	0	1	3
wp	7	15	1	1	2
JGNHK388	7	15	3	1	2
wp	7	15	3	1	3
wp	7	15	8	1	3
wp	7	15	14	1	2
wp	7	15	15	1	3
JR7W578	7	15	19	3	3
JPK8926	7	15	20	3	2
JR6691D	7	15	29	3	3
JGFC0079	7	15	33	3	1
JRQY113	7	15	35	1	2
JPWR136	7	15	35	1	3
JGP9S929	7	15	39	3	1
JGGSS529	7	15	47	4	2
