1	-1	-1	-1	-1	-1	7	0	4	-1	-1	1	2
2	-1	-1	-1	-1	-1	7	0	31	-1	-1	1	3
3	-1	-1	-1	-1	-1	7	0	38	-1	-1	1	2
4	-1	-1	-1	-1	-1	7	0	42	-1	-1	1	3
5	-1	-1	-1	-1	-1	7	0	42	-1	-1	1	2
6	-1	-1	-1	-1	-1	7	0	45	-1	-1	1	2
7	-1	-1	-1	-1	-1	7	0	47	-1	-1	1	2
8	-1	-1	-1	-1	-1	7	0	49	-1	-1	1	2
9	-1	-1	-1	-1	-1	7	0	49	-1	-1	1	1
10	-1	-1	-1	-1	-1	7	0	53	-1	-1	1	2
11	-1	-1	-1	-1	-1	7	0	57	-1	-1	1	3
12	-1	-1	-1	-1	-1	7	0	58	-1	-1	1	1
13	-1	-1	-1	-1	-1	7	1	12	-1	-1	1	2
14	-1	-1	-1	-1	-1	7	1	29	-1	-1	1	2
15	-1	-1	-1	-1	-1	7	2	13	-1	-1	1	3
16	-1	-1	-1	-1	-1	7	2	16	-1	-1	1	2
17	-1	-1	-1	-1	-1	7	2	28	-1	-1	1	3
18	-1	-1	-1	-1	-1	7	2	35	-1	-1	1	2
19	-1	-1	-1	-1	-1	7	2	38	-1	-1	1	2
20	-1	-1	-1	-1	-1	7	2	39	-1	-1	1	3
21	-1	-1	-1	-1	-1	7	2	40	-1	-1	1	2
22	-1	-1	-1	-1	-1	7	2	44	-1	-1	1	2
23	-1	-1	-1	-1	-1	7	2	45	-1	-1	1	2
24	-1	-1	-1	-1	-1	7	2	45	-1	-1	1	3
25	-1	-1	-1	-1	-1	7	2	48	-1	-1	1	2
26	-1	-1	-1	-1	-1	7	2	50	-1	-1	1	3
27	-1	-1	-1	-1	-1	7	3	20	-1	-1	1	2
28	-1	-1	-1	-1	-1	7	3	29	-1	-1	1	3
29	-1	-1	-1	-1	-1	7	3	38	-1	-1	1	2
30	-1	-1	-1	-1	-1	7	4	18	-1	-1	1	1
31	-1	-1	-1	-1	-1	7	4	35	-1	-1	1	3
32	-1	-1	-1	-1	-1	7	4	38	-1	-1	1	2
33	-1	-1	-1	-1	-1	7	4	40	-1	-1	1	3
34	-1	-1	-1	-1	-1	7	4	42	-1	-1	1	2
35	-1	-1	-1	-1	-1	7	4	46	-1	-1	1	3
36	-1	-1	-1	-1	-1	7	4	47	-1	-1	1	2
37	-1	-1	-1	-1	-1	7	4	51	-1	-1	1	2
